涡轮叶片,wōlúnyèpiàn,blade
型飞机,xíngfēijī,aircraft
烧蚀,shāoshí,ablation
星敏感器,xīngmǐngǎnqì,star
对接,dùijiē,docking
喷流,pēnlíu,jet
试飞,shìfēi,flight
隐式,yǐnshì,implicit
机动,jīdòng,maneuver
压力分布,yālìfēnbù,pressure
撞击,zhuàngjí,impact
效能,xiàonéng,effectiveness
航空电子,hángkōngdiànzǐ,avionics
摄动,shèdòng,perturbation
微型,wēixíng,micro
圆柱,yuánzhù,cylinder
数值仿真,shùzhífǎngzhēn,simulation
月球,yuèqíu,lunar
层流,cénglíu,laminareuler
方程,fāngchéng,euler
桨叶,jiǎngyè,blade
可靠度,kěkàodù,reliability
出口,chūkǒu,exit
定常,dìngcháng,steady
标定,biāodìng,calibration
数字仿真,shùzìfǎngzhēn,simulation
小卫星,xiǎowèixīng,satellite
光纤陀螺,guāngxiāntuóluó,fog
非结构,fēijiégōu,unstructured
相流,xiānglíu,flow
回路,húilù,loop
系统可靠性,xìtǒngkěkàoxìng,reliability
轴对称,zhóudùichēng,axisymmetric
编队,biāndùi,formation
燃烧性,ránshāoxìng,combustion
燃烧性能,ránshāoxìngnéng,combustion
蜂窝,fēngwō,honeycomb
直升机旋翼,zhíshēngjīxuányì,helicopter
解耦,jiěǒu,decoupling
旋涡,xuánwō,vortex
隐身,yǐnshēn,stealth
某型飞机,mǒuxíngfēijī,aircraft
无人,wúrén,unmanned
进口,jìnkǒu,inlet
仿真分析,fǎngzhēnfēnxī,simulation
冲压发动机,chōngyāfādòngjī,ramjet
风扇,fēngshàn,fan
转捩,zhuǎnliè,transition
军用,jūnyòng,military
自然对流,zìrándùilíu,convection
捷联,jiélián,sins
编队飞行,biāndùifēixíng,formation
品质,pǐnzhí,qualities
煤油,méiyóu,kerosene
药柱,yàozhù,grain
天平,tiānpíng,balance
星载,xīngzài,satellite
管内,guǎnnèi,tube
弯曲,wānqū,bending
紊流,wènlíu,turbulent
热管,règuǎn,heat
仿真技术,fǎngzhēnjìzhú,simulation
空间环境,kōngjiānhuánjìng,space
羽流,yǔlíu,plume
疲劳试验,píláoshìyàn,fatigue
刹车,chàchē,braking
歼击机,jiānjíjī,fighterpid
控制,kòngzhì,pid
姿态确定,zītàiquèdìng,attitude
分格式,fēngéshì,scheme
初始对准,chūshǐdùizhǔn,alignment
气动弹性,qìdòngdànxìng,aeroelastic
耐力,nàilì,tolerance
可压缩,kěyāsuō,compressible
接收机,jiēshōujī,receiver
轴流压气机,zhóulíuyāqìjī,compressor
碎片,sùipiàn,debris
航空运输,hángkōngyùnshū,air
比冲,bǐchōng,impulse
载人航天,zàirénhángtiān,manned
闭环,bìhuán,loop
导数,dǎoshù,derivatives
离心,líxīn,centrifugal
内流,nèilíu,flow
气象卫星,qìxiàngwèixīng,satellite
差分格式,chàfēngéshì,scheme
凝结,níngjié,condensation
燃烧过程,ránshāoguòchéng,combustion
机身,jīshēn,fuselage
卫星通信,wèixīngtōngxìn,satellite
航班,hángbān,flight
作战,zuòzhàn,combat
四元数,sìyuánshù,quaternion
超燃冲压发动机,chāoránchōngyāfādòngjī,scramjet
发动机推力,fādòngjītūilì,thrust
多学科,duōxuékē,multidisciplinary
弹道,dàndào,trajectory
跑道,pǎodào,runway
飞行模拟器,fēixíngmónǐqì,flight
可靠性设计,kěkàoxìngshèjì,reliability
非线性系统,fēixiànxìngxìtǒng,nonlinear
换热器,huànrèqì,heat
中文英文涡喷,zhōngwényīngwénwōpēn,turbojet
流动特性,líudòngtèxìng,flow
控制方程,kòngzhìfāngchéng,equations
晃动,huǎngdòng,sloshing
推力器,tūilìqì,thruster
阻尼器,zǔníqì,damper
系统仿真,xìtǒngfǎngzhēn,simulation
热控,rèkòng,thermal
仿真试验,fǎngzhēnshìyàn,simulation
振荡,zhèndàng,oscillation
飞船,fēichuán,spacecraft
仿真验证,fǎngzhēnyànzhèng,simulation
细长,xìcháng,slender
环形,huánxíng,annular
沸腾换热,fèiténghuànrè,boiling
飞行仿真,fēixíngfǎngzhēn,simulation
残余应力,cányúyìnglì,residual
国际机场,guójìjīcháng,airport
校准,xiàozhǔn,calibration
亚音速,yàyīnsù,subsonic
气动性能,qìdòngxìngnéng,aerodynamic
航迹,hángjī,flight
螺旋桨,luóxuánjiǎng,propeller
驾驶员,jiàshǐyuán,pilot
尾流,wěilíu,wake
俯仰,fǔyǎng,pitching
不可压,bùkěyā,incompressible
弹射,dànshè,ejection
仿真软件,fǎngzhēnruǎnjiàn,simulation
空间飞行器,kōngjiānfēixíngqì,spacecraft
进气,jìnqì,inlet
空间碎片,kōngjiānsùipiàn,debris
飞行人员,fēixíngrényuán,pilots
热传导,rèchuándǎo,heat
不可压缩,bùkěyāsuō,incompressible
航空电子系统,hángkōngdiànzǐxìtǒng,avionics
容限,róngxiàn,tolerance
环氧,huányǎng,epoxy
捷联惯导,jiéliánguàndǎo,sins
无粘,wúnián,inviscid
涡喷发动机,wōpēnfādòngjī,turbojet
加速度计,jiāsùdùjì,accelerometer
内流场,nèilíucháng,flow
低压,dīyā,pressure
数值解,shùzhíjiě,numerical
热源,rèyuán,heat
星图,xīngtú,star
运载器,yùnzàiqì,vehicle
数控,shùkòng,nc
扩压器,kuòyāqì,diffuser
姿控,zīkòng,attitude
翼面,yìmiàn,wing
气动设计,qìdòngshèjì,aerodynamic
来流,láilíu,flow
雾化,wùhuà,atomization
线性化,xiànxìnghuà,linearization
高超音速,gāochāoyīnsù,hypersonic
通过仿真,tōngguòfǎngzhēn,simulation
喷嘴,pēnzǔi,injector
冷凝,lěngníng,condensation
军用飞机,jūnyòngfēijī,military
静压,jìngyā,pressure
热防护,rèfánghù,thermal
直升机飞行,zhíshēngjīfēixíng,helicopter
导引,dǎoyǐn,guidance
航天飞机,hángtiānfēijī,shuttle
洞壁,dòngbì,wall
损伤容限,sǔnshāngróngxiàn,tolerance
欧拉方程,ōulāfāngchéng,euler
定标,dìngbiāo,calibration
屈曲,qūqū,buckling
碰撞,pèngzhuàng,collision
尾旋,wěixuán,spin
鲁棒控制,lǔbàngkòngzhì,robust
离心机,líxīnjī,centrifuge
降落伞,jiàngluòsǎn,parachute
空战,kōngzhàn,air
空气动力,kōngqìdònglì,aerodynamic
转子系统,zhuǎnzǐxìtǒng,rotor
飞艇,fēitǐng,airship
机匣,jīxiá,casing
航向,hángxiàng,heading
实时仿真,shíshífǎngzhēn,simulation
襟翼,jīnyì,flap
载人航天器,zàirénhángtiānqì,manned
转台,zhuǎntái,turntable
裕度,yùdù,margin
航空航天,hángkōnghángtiān,aerospace
掺混,xiānhùn,mixing
传递函数,chuándìhánshù,transfer
振动特性,zhèndòngtèxìng,vibration
合成孔径雷达,héchéngkǒngjìngléidá,sar
航天器姿态,hángtiānqìzītài,attitude
外形,wàixíng,configuration
交通流量,jiāotōnglíuliàng,traffic
涡流,wōlíu,vortex
非平衡,fēipínghéng,nonequilibrium
机动飞行,jīdòngfēixíng,flight
刚性,gāngxìng,rigid
太空,tàikōng,space
飞行状态,fēixíngzhuàngtài,flight
展开,zhǎnkāi,deployment
减振,jiǎnzhèn,vibration
运动学,yùndòngxué,kinematics
疲劳裂纹扩展,píláolièwénkuòzhǎn,fatigue
凝结换热,níngjiéhuànrè,condensation
边界元,biānjièyuán,boundary
仿真方法,fǎngzhēnfāngfǎ,simulation
星载,xīngzài,sarsar
可靠性评估,kěkàoxìngpínggū,reliability
湍流流动,tuānlíulíudòng,turbulent
粘弹性,niándànxìng,viscoelastic
地面试验,dìmiànshìyàn,ground
流体力学,líutǐlìxué,fluid
飞机飞行,fēijīfēixíng,flight
月球车,yuèqíuchē,rover
引射,yǐnshè,ejector
卫星轨道,wèixīnggǔidào,orbit
半实物仿真,bànshíwùfǎngzhēn,simulation
交会对接,jiāohùidùijiē,rendezvous
效能评估,xiàonéngpínggū,effectiveness
粘合剂,niánhéjì,binder
突防,tūfáng,penetration
橡胶,xiàngxiáo,rubber
样条,yángtiáo,spline
阻力系数,zǔlìxìshù,drag
载人飞船,zàirénfēichuán,manned
结构可靠性,jiégōukěkàoxìng,reliability
流型,líuxíng,flow
爆震波,bàozhènbō,detonation
补燃,bǔrán,combustion
遥感器,yáogǎnqì,sensor
挤压,jǐyā,squeeze
冗余,rǒngyú,redundancy
装药,zhuāngyào,grain
耐久性,nàijǐuxìng,durability
悬停,xuántíng,hover
叶轮,yèlún,impeller
高超声速飞行器,gāochāoshēngsùfēixíngqì,hypersonic
比目鱼,bǐmùyú,soleus
中文英文姿态测量,zhōngwényīngwénzītàicèliàng,attitude
涡轮泵,wōlúnbèng,turbopump
座椅,zuòyǐ,seat
高可靠性,gāokěkàoxìng,reliability
高温合金,gāowēnhéjīn,superalloy
飞轮,fēilún,flywheel
数值求解,shùzhíqíujiě,numerical
起动,qǐdòng,starting
前庭,qiántíng,vestibular
疲劳损伤,píláosǔnshāng,fatigue
遥测,yáocè,telemetry
减阻,jiǎnzǔ,drag
敏捷,mǐnjié,agility
迎风,yíngfēng,upwind
非定常流,fēidìngchánglíu,unsteady
杂波,zábō,clutter
涡轮盘,wōlúnpán,disk
辐射计,fúshèjì,radiometer
圆管,yuánguǎn,tube
散热,sànrè,heat
振动试验,zhèndòngshìyàn,vibration
绝热层,juérècéng,insulation
齿轮,chǐlún,gear
感器,gǎnqì,sensor
悬吊,xuándiào,suspended
夹层,jiācéng,sandwich
有效载荷,yǒuxiàozàihé,payload
火力,huǒlì,fire
相流动,xiānglíudòng,flow
比目鱼肌,bǐmùyújī,soleus
疲劳性,píláoxìng,fatigue
导航定位,dǎohángdìngwèi,navigation
液滴,yèdī,droplet
作战效能,zuòzhànxiàonéng,effectiveness
疲劳性能,píláoxìngnéng,fatigue
座舱,zuòcāng,cabin
空域,kōngyù,airspace
脉动,màidòng,fluctuating
蒙皮,méngpí,skin
数学仿真,shùxuéfǎngzhēn,simulation
解耦控制,jiěǒukòngzhì,decoupling
多学科设计优化,duōxuékēshèjìyōuhuà,multidisciplinary
多变量,duōbiànliàng,multivariable
静止,jìngzhǐ,geostationary
构型,gōuxíng,configuration
航天员,hángtiānyuán,astronaut
传热性,chuánrèxìng,heat
推力室,tūilìshì,chamber
流动沸腾,líudòngfèiténg,boiling
超高速,chāogāosù,hypervelocity
包线,bāoxiàn,envelope
流态,líutài,flow
运动病,yùndòngbìng,sickness
挤压油,jǐyāyóu,squeeze
敏捷性,mǐnjiéxìng,agility
旋翼桨叶,xuányìjiǎngyè,rotor
结构疲劳,jiégōupíláo,fatigue
惯量,guànliàng,inertia
空间交会,kōngjiānjiāohùi,rendezvous
隐身技术,yǐnshēnjìzhú,stealth
圆柱绕流,yuánzhùràolíu,cylinder
热层,rècéng,insulation
发动机系统,fādòngjīxìtǒng,engine
喘振,chuǎnzhèn,surge
含能,hánnéng,energetic
沸腾传热,fèiténgchuánrè,boiling
热平衡,rèpínghéng,balance
姿态角,zītàijiǎo,attitude
定位系统,dìngwèixìtǒng,positioning
旋流,xuánlíu,swirl
动力学建模,dònglìxuéjiànmó,modeling
低周疲劳,dīzhōupíláo,fatigue
环氧树脂,huányǎngshùzhī,epoxy
两相流动,liǎngxiānglíudòng,flow
空腔,kōngqiāng,cavity
仿真,fǎngzhēn,simulation
目标,mùbiāo,target
武器,wǔqì,weapon
算法,suànfǎ,algorithm
引信,yǐnxìn,fuze
制导,zhìdǎo,guidance
武器系统,wǔqìxìtǒng,weapon
炸药,zhàyào,explosive
装备,zhuāngbèi,equipment
成像,chéngxiàng,imaging
效能,xiàonéng,effectiveness
弹道,dàndào,trajectory
干扰,gānrǎo,jamming
鱼雷,yúléi,torpedo
军事,jūnshì,military
红外,hóngwài,infrared
仿真结果,fǎngzhēnjiéguǒ,simulation
跟踪,gēnzōng,tracking
估计,gūjì,estimation
概率,gàilv̀,probability
坦克,tǎnkè,tank
建模,jiànmó,modeling
自适应,zìshìyìng,adaptive
潜艇,qiántǐng,submarine
导弹,dǎodàn,missiles
火炮,huǒpào,gun
机载,jīzài,airborne
防空,fángkōng,air
杂波,zábō,clutter
距离,jùlí,range
装药,zhuāngyào,charge
信号处理,xìnhàochùlǐ,signal
飞行,fēixíng,flight
多普勒,duōpǔlè,doppler
导弹武器,dǎodànwǔqì,missile
射击,shèjí,firing
导引头,dǎoyǐntóu,seeker
天线,tiānxiàn,antenna
弹丸,dànwán,projectile
合成孔径雷达,héchéngkǒngjìngléidá,sar
乳化,rǔhuà,emulsion
防空导弹,fángkōngdǎodàn,missile
发射,fāshè,launching
维修,wéixīu,maintenance
作战效能,zuòzhànxiàonéng,effectiveness
乳化炸药,rǔhuàzhàyào,emulsion
雷达目标,léidámùbiāo,radar
火箭,huǒjiàn,rocket
战场,zhàncháng,battlefield
战争,zhànzhēng,war
目标识别,mùbiāoshìbié,target
导弹武器系统,dǎodànwǔqìxìtǒng,missile
感度,gǎndù,sensitivity
点火,diǎnhuǒ,ignition
回波,húibō,radar
战术,zhànzhú,tactical
战斗部,zhàndǒubù,warhead
雷达系统,léidáxìtǒng,radar
导引,dǎoyǐn,guidance
指挥,zhǐhūi,command
仿真研究,fǎngzhēnyánjīu,simulation
发射药,fāshèyào,propellant
武器装备,wǔqìzhuāngbèi,weapon
姿态,zītài,attitude
侵彻,qīnchè,penetration
军用,jūnyòng,military
爆轰,bàohōng,detonation
雷达信号,léidáxìnhào,radar
水下,shǔixià,underwater
装甲,zhuāngjiǎ,armored
爆炸,bàozhà,explosion
效能评估,xiàonéngpínggū,effectivenesssar
图像,túxiàng,sar
弹药,dànyào,ammunition
车辆,chēliàng,vehicle
雷管,léiguǎn,detonator
弹道导弹,dàndàodǎodàn,missile
燃烧,ránshāo,combustion
仿真模型,fǎngzhēnmóxíng,simulation
无线电,wúxiàndiàn,radio
隐身,yǐnshēn,stealth
空空导弹,kōngkōngdǎodàn,missile
分布式,fēnbùshì,distributed
舰船,jiànchuán,ship
攻击,gōngjí,attack
模拟器,mónǐqì,simulator
机动,jīdòng,maneuvering
接收机,jiēshōujī,receiver
修正,xīuzhèng,correction
被动,bèidòng,passive
延期,yánqī,delay
冲击,chōngjí,shock
计算机仿真,jìsuànjīfǎngzhēn,simulation
制导律,zhìdǎolv̀,guidance
系统效能,xìtǒngxiàonéng,effectiveness
起爆,qǐbào,initiation
威胁,wēixié,threat
射流,shèlíu,jet
体系结构,tǐxìjiégōu,architecture
火箭弹,huǒjiàndàn,rocket
显示,xiǎnshì,display
气动,qìdòng,aerodynamic
无源,wúyuán,passive
撞击,zhuàngjí,impact
防御,fángyù,defense
冲击波,chōngjíbō,shock
地空导弹,dìkōngdǎodàn,missile
毁伤,hǔishāng,damage
制导系统,zhìdǎoxìtǒng,guidance
舰载,jiànzài,shipborne
分辨,fēnbiàn,resolution
战术导弹,zhànzhúdǎodàn,tactical
目标跟踪,mùbiāogēnzōng,tracking
仿真技术,fǎngzhēnjìzhú,simulation
系统仿真,xìtǒngfǎngzhēn,simulation
飞机,fēijī,aircraft
口径,kǒujìng,caliber
侦察,zhēnchá,reconnaissance
烟幕,yānmù,smoke
极化,jíhuà,polarization
热分解,rèfēnjiě,decomposition
数字仿真,shùzìfǎngzhēn,simulation
舰炮,jiànpào,gun
抗干扰,kànggānrǎo,anti
火力,huǒlì,fire
某型,mǒuxíng,certain
自动驾驶仪,zìdòngjiàshǐyí,autopilot
突防,tūfáng,penetration
飞航导弹,fēihángdǎodàn,missile
方位,fāngwèi,azimuth
惯性,guànxìng,inertial
信息融合,xìnxīrónghé,fusion
火药,huǒyào,propellant
毫米波,háomǐbō,millimeter
某型导弹,mǒuxíngdǎodàn,missile
空中,kōngzhōng,air
混凝土,hùnníngtǔ,concrete
回波信号,húibōxìnhào,signal
运动目标,yùndòngmùbiāo,moving
舰艇,jiàntǐng,ship
波形,bōxíng,waveform
雷达信号处理,léidáxìnhàochùlǐ,radar
精确,jīngquè,precision
卡尔曼,qiǎěrmàn,kalman
星载,xīngzài,spaceborne
高炮,gāopào,gun
雷达回波,léidáhúibō,radar
参数估计,cānshùgūjì,estimation
导弹系统,dǎodànxìtǒng,missile
估计方法,gūjìfāngfǎ,estimation
身管,shēnguǎn,barrel
半实物仿真,bànshíwùfǎngzhēn,simulation
仿真试验,fǎngzhēnshìyàn,simulation
对准,dùizhǔn,alignment
炮兵,pàobīng,artillery
爆速,bàosù,detonation
分配,fēnpèi,assignment
仿真方法,fǎngzhēnfāngfǎ,simulation
回路,húilù,loop
命中,mìngzhōng,hit
推力,tūilì,thrust
导引律,dǎoyǐnlv̀,guidancesar
成像,chéngxiàng,sar
红外成像,hóngwàichéngxiàng,infrared
海军,hǎijūn,navy
气动力,qìdònglì,aerodynamic
靶场,bǎcháng,range
推进剂,tūijìnjì,propellant
箔条,bótiáo,chaff
算法研究,suànfǎyánjīu,algorithm
炸弹,zhàdàn,bomb
撞击感度,zhuàngjígǎndù,sensitivity
建模与仿真,jiànmóyǔfǎngzhēn,simulation
调制,diàozhì,modulation
诱饵,yòuěr,decoy
装备维修,zhuāngbèiwéixīu,maintenance
射程,shèchéng,range
多普勒雷达,duōpǔlèléidá,doppler
直升机,zhíshēngjī,helicopter
仿真软件,fǎngzhēnruǎnjiàn,simulation
数值仿真,shùzhífǎngzhēn,simulation
反辐射,fǎnfúshè,anti
维修保障,wéixīubǎozhàng,maintenance
拦截,lánjié,interception
隐身技术,yǐnshēnjìzhú,stealth
论证,lùnzhèng,demonstration
孔径,kǒngjìng,aperture
炮口,pàokǒu,muzzle
卡尔曼滤波,qiǎěrmànlv̀bō,kalman
发射机,fāshèjī,transmitter
维修性,wéixīuxìng,maintainability
噪比,zàobǐ,snr
脱靶,tuōbǎ,miss
处理器,chùlǐqì,processor
火箭炮,huǒjiànpào,rocket
脉冲多普勒,màichōngduōpǔlè,doppler
雷达天线,léidátiānxiàn,antenna
融合技术,rónghéjìzhú,fusion
仿真实验,fǎngzhēnshíyàn,simulation
延期药,yánqīyào,delay
星载,xīngzài,sarsar
含能,hánnéng,energetic
通过仿真,tōngguòfǎngzhēn,simulation
阻力,zǔlì,drag
高分辨,gāofēnbiàn,resolution
分辨力,fēnbiànlì,resolution
备件,bèijiàn,spare
欺骗,qīpiàn,deception
航迹,hángjī,track
仿真计算,fǎngzhēnjìsuàn,simulation
宽带,kuāndài,wideband
电子战,diànzǐzhàn,ew
超音速,chāoyīnsù,supersonic
鲁棒性,lǔbàngxìng,robustness
攻角,gōngjiǎo,attack
动目标,dòngmùbiāo,moving
火箭发动机,huǒjiànfādòngjī,rocket
再入,zàirù,reentry
靶板,bǎbǎn,target
发射装置,fāshèzhuāngzhì,launcher
机枪,jīqiāng,gun
雷达导引头,léidádǎoyǐntóu,seeker
脉冲雷达,màichōngléidá,radar
制导技术,zhìdǎojìzhú,guidance
推进,tūijìn,propulsion
弹头,dàntóu,warhead
波束,bōshù,beam
炮弹,pàodàn,projectile
后坐,hòuzuò,recoil
近炸,jìnzhà,proximity
伪装,wěizhuāng,camouflage
喷流,pēnlíu,jet
探地雷达,tàndìléidá,radar
战斗机,zhàndǒujī,fighter
导弹总体,dǎodànzǒngtǐ,missile
壳体,kétǐ,shell
原始,yuánshǐ,raw
过载,guòzài,overload
陀螺,tuóluó,gyro
相干斑,xiānggānbān,speckle
成像处理,chéngxiàngchùlǐ,imaging
旁瓣,pángbàn,sidelobe
装药结构,zhuāngyàojiégōu,charge
某导弹,mǒudǎodàn,missile
近炸引信,jìnzhàyǐnxìn,proximity
飞航,fēiháng,cruise
目标运动,mùbiāoyùndòng,target
杂波抑制,zábōyìzhì,clutter
杀伤,shāshāng,kill
层次分析法,céngcìfēnxīfǎ,ahp
兵器,bīngqì,weapon
药筒,yàotǒng,cartridge
国防,guófáng,defense
履带,lv̌dài,tracked
延时,yánshí,delay
雷达技术,léidájìzhú,radar
燃烧性,ránshāoxìng,combustion
燃烧性能,ránshāoxìngnéng,combustion
电雷管,diànléiguǎn,detonator
虚警,xūjǐng,false
